model,accuracy,balanced_accuracy,f1_binary,f1_macro,precision_binary,recall_binary,test_pos_rate,majority_class_accuracy,majority_class_pr_auc,roc_auc,pr_auc
logistic_regression,0.5765532331433177,0.5710862377202768,0.4887552573951128,0.5636852283928806,0.5843896762395578,0.4200197150282283,0.48190533770944893,0.5180946622905511,0.48190533770944893,0.6061287848207269,0.5627702077691901
random_forest,0.5500950077733633,0.5341700501645609,0.1678027478964746,0.4297585449878901,0.7724932581515077,0.09412432416285808,0.48190533770944893,0.5180946622905511,0.48190533770944893,0.7006743794958905,0.6598063459772481
xgboost,0.6224016813496862,0.6137925075308516,0.4896593318936166,0.5950015932461218,0.7021537774801919,0.375899871553604,0.48190533770944893,0.5180946622905511,0.48190533770944893,0.7136683409301277,0.6639095390189506
lightgbm,0.6044509702308977,0.5933848394241026,0.4120340651345915,0.5570072496992451,0.7262578260541601,0.2876004420945724,0.48190533770944893,0.5180946622905511,0.48190533770944893,0.7150569604643895,0.6756859142246916
interaction_mlp,0.6239563540047216,0.6169036845046313,0.5196123503558359,0.605336409221226,0.6759161802698307,0.4220210891059533,0.48190533770944893,0.5180946622905511,0.48190533770944893,0.6896920069283418,0.6463135813154997
