model,test_roc_auc,test_pr_auc,test_f1_binary,test_accuracy,cold_bedroc,cold_ef_at_1pct,cold_ef_at_5pct,cv_roc_auc_mean,cv_roc_auc_std,cv_prauc_mean,cv_prauc_std
logistic_regression,0.6061287848207269,0.5627702077691901,0.4887552573951128,0.5765532331433177,0.8269205420854864,1.716806320155812,1.7322335552421912,0.6284476234774815,0.027929603803059404,0.587291558025645,0.02142732689451428
random_forest,0.7006743794958905,0.6598063459772481,0.1678027478964746,0.5500950077733633,0.9998942962135627,2.075096334797025,2.075096334797025,0.6971827140123429,0.004109546541073601,0.6513245365016512,0.01488497349273078
xgboost,0.7136683409301277,0.6639095390189506,0.4896593318936166,0.6224016813496862,0.7315216540453254,1.692920319179731,1.5118217683855122,0.703755465247307,0.015675717926070823,0.656054091700815,0.018432130892589743
lightgbm,0.7150569604643895,0.6756859142246916,0.4120340651345915,0.6044509702308977,0.9712282612269566,2.057181834064964,2.0494114924261924,0.7090187283143382,0.017617997345051456,0.6631030657686103,0.019307392526982877
interaction_mlp,0.6896920069283418,0.6463135813154997,0.5196123503558359,0.6239563540047216,0.7238588097488777,1.4869035607610337,1.5207815971195238,,,,
