model,accuracy,f1_binary,f1_macro,precision_binary,recall_binary,roc_auc,pr_auc
logistic_regression,0.5431499460625674,0.6286716352476984,0.5175593635243397,0.7507853403141361,0.5407239819004525,0.5459151755107637,0.7359440173073672
random_forest,0.7524271844660194,0.8431841475913905,0.6277380405050422,0.7707682698313554,0.9306184012066365,0.7698392293980529,0.8832619048748651
xgboost,0.6089536138079827,0.6980424822990421,0.5716685250056802,0.7795348837209303,0.6319758672699849,0.6553673042643631,0.8236504091420134
lightgbm,0.639697950377562,0.7067603160667252,0.6198137244669291,0.8455882352941176,0.6070889894419306,0.7162675967823027,0.8614189167758803
interaction_mlp,0.5836030204962244,0.6185770750988142,0.5800723855304047,0.8968481375358166,0.4720965309200603,0.7625791283879519,0.8802197159297475
